codigo,nombre,genero,episodios,rating,plataforma,año
KD001,Goblin,Fantasia,16,9.3,Netflix,2016
KD002,Crash Landing on You,Romance,16,9.5,Netflix,2019
KD003,True Beauty,Romance,16,8.7,Viki,2020
KD004,Vincenzo,Accion,20,9.1,Netflix,2021
KD005,Business Proposal,Comedia,12,8.9,Netflix,2022
KD006,Alchemy of Souls,Fantasia,20,8.8,Netflix,2022
KD007,Extraordinary Attorney Woo,Drama,16,9.0,Netflix,2022
KD008,Twenty Five Twenty One,Juventud,16,9.2,Netflix,2022
KD009,Flower of Evil,Suspenso,16,9.1,Viki,2020
KD010,My Demon,Fantasia,16,8.8,Netflix,2023
KD011,Lovely Runner,Romance,16,9.4,Viki,2024
KD012,Queen of Tears,Drama,16,9.5,Netflix,2024
KD013,Hotel Del Luna,Fantasia,16,8.9,Netflix,2019
KD014,Strong Woman Do Bong Soon,Comedia,16,8.8,Viki,2017
KD015,The Glory,Drama,16,9.0,Netflix,2022
KD016,King The Land,Romance,16,8.6,Netflix,2023
KD017,Mouse,Suspenso,20,9.2,Viki,2021
KD018,Happiness,Thriller,12,8.9,Netflix,2021
KD019,Our Beloved Summer,Romance,16,8.8,Netflix,2021
KD020,Descendants of the Sun,Accion,16,9.4,Netflix,2016
KD021,Cheer Up,Juventud,16,8.4,Viki,2022
KD022,Tomorrow,Fantasia,16,8.9,Netflix,2022
KD023,Snowdrop,Drama,16,8.7,Disney+,2021
KD024,Moving,Accion,20,9.3,Disney+,2023
KD025,Weak Hero Class 1,Accion,8,9.1,Viki,2022
KD026,Love Alarm,Romance,16,8.2,Netflix,2019
KD027,All of Us Are Dead,Terror,12,8.9,Netflix,2022
KD028,Sweet Home,Terror,10,8.8,Netflix,2020
KD029,Mr Queen,Comedia,20,9.2,Viki,2020
KD030,Moon Lovers,Historico,20,9.5,Viki,2016
KD031,Hometown Cha Cha Cha,Romance,16,8.9,Netflix,2021
KD032,Doom at Your Service,Fantasia,16,8.7,Viki,2021
KD033,Celebrity,Drama,12,8.5,Netflix,2023
KD034,The Penthouse,Drama,21,9.0,Viki,2020
KD035,Extraordinary You,Fantasia,16,8.6,Viki,2019